"Date","zt"
"31 Dec 10","1.5272"
"30 Dec 10","1.5204"
"29 Dec 10","1.5221"
"24 Dec 10","1.5374"
"23 Dec 10","1.5345"
"22 Dec 10","1.5385"
"21 Dec 10","1.5513"
"20 Dec 10","1.5624"
"17 Dec 10","1.57"
"16 Dec 10","1.5851"
"15 Dec 10","1.5745"
"14 Dec 10","1.5797"
"13 Dec 10","1.5948"
"10 Dec 10","1.6036"
"09 Dec 10","1.6005"
"08 Dec 10","1.6157"
"07 Dec 10","1.5959"
"06 Dec 10","1.5853"
"03 Dec 10","1.5908"
"02 Dec 10","1.5981"
"01 Dec 10","1.6168"
"30 Nov 10","1.6235"
"29 Nov 10","1.6214"
"26 Nov 10","1.6199"
"25 Nov 10","1.6054"
"24 Nov 10","1.6044"
"23 Nov 10","1.6247"
"22 Nov 10","1.6159"
"19 Nov 10","1.621"
"18 Nov 10","1.6187"
"17 Nov 10","1.6214"
"16 Nov 10","1.6287"
"15 Nov 10","1.627"
"12 Nov 10","1.6339"
"11 Nov 10","1.6198"
"10 Nov 10","1.6036"
"09 Nov 10","1.5877"
"08 Nov 10","1.5973"
"05 Nov 10","1.599"
"04 Nov 10","1.6052"
"03 Nov 10","1.6132"
"02 Nov 10","1.6024"
"01 Nov 10","1.6247"
"29 Oct 10","1.6308"
"28 Oct 10","1.6301"
"27 Oct 10","1.6293"
"26 Oct 10","1.6087"
"25 Oct 10","1.5821"
"22 Oct 10","1.5988"
"21 Oct 10","1.5983"
"20 Oct 10","1.6092"
"19 Oct 10","1.6177"
"18 Oct 10","1.6033"
"15 Oct 10","1.6187"
"14 Oct 10","1.6083"
"13 Oct 10","1.5971"
"12 Oct 10","1.6043"
"11 Oct 10","1.6148"
"08 Oct 10","1.6197"
"07 Oct 10","1.622"
"06 Oct 10","1.6288"
"05 Oct 10","1.6433"
"04 Oct 10","1.6373"
"01 Oct 10","1.6298"
"30 Sep 10","1.6276"
"29 Sep 10","1.631"
"28 Sep 10","1.6378"
"27 Sep 10","1.6458"
"24 Sep 10","1.649"
"23 Sep 10","1.6512"
"22 Sep 10","1.6375"
"21 Sep 10","1.6402"
"20 Sep 10","1.6425"
"17 Sep 10","1.6689"
"16 Sep 10","1.6673"
"15 Sep 10","1.6612"
"14 Sep 10","1.649"
"13 Sep 10","1.6486"
"10 Sep 10","1.6603"
"09 Sep 10","1.6709"
"08 Sep 10","1.6855"
"07 Sep 10","1.6751"
"06 Sep 10","1.6815"
"03 Sep 10","1.6885"
"02 Sep 10","1.6907"
"01 Sep 10","1.7021"
"31 Aug 10","1.7264"
"27 Aug 10","1.7296"
"26 Aug 10","1.7533"
"25 Aug 10","1.7558"
"24 Aug 10","1.7455"
"23 Aug 10","1.7364"
"20 Aug 10","1.7468"
"19 Aug 10","1.7454"
"18 Aug 10","1.735"
"17 Aug 10","1.7238"
"16 Aug 10","1.7501"
"13 Aug 10","1.7385"
"12 Aug 10","1.7404"
"11 Aug 10","1.74"
"10 Aug 10","1.7314"
"09 Aug 10","1.7431"
"06 Aug 10","1.7448"
"05 Aug 10","1.7358"
"04 Aug 10","1.7358"
"03 Aug 10","1.7463"
"02 Aug 10","1.7406"
"30 Jul 10","1.7299"
"29 Jul 10","1.7308"
"28 Jul 10","1.7487"
"27 Jul 10","1.7238"
"26 Jul 10","1.7213"
"23 Jul 10","1.7228"
"22 Jul 10","1.71"
"21 Jul 10","1.7244"
"20 Jul 10","1.7398"
"19 Jul 10","1.7545"
"16 Jul 10","1.7579"
"15 Jul 10","1.7517"
"14 Jul 10","1.7294"
"13 Jul 10","1.7286"
"12 Jul 10","1.7243"
"09 Jul 10","1.7271"
"08 Jul 10","1.7351"
"07 Jul 10","1.7709"
"06 Jul 10","1.7817"
"05 Jul 10","1.8029"
"02 Jul 10","1.7955"
"01 Jul 10","1.8069"
"30 Jun 10","1.7719"
"29 Jun 10","1.7647"
"28 Jun 10","1.73"
"25 Jun 10","1.7326"
"24 Jun 10","1.7279"
"23 Jun 10","1.7136"
"22 Jun 10","1.6835"
"21 Jun 10","1.6812"
"18 Jun 10","1.702"
"17 Jun 10","1.7142"
"16 Jun 10","1.7164"
"15 Jun 10","1.7212"
"14 Jun 10","1.7098"
"11 Jun 10","1.7137"
"10 Jun 10","1.7319"
"09 Jun 10","1.7497"
"08 Jun 10","1.7572"
"07 Jun 10","1.7785"
"04 Jun 10","1.7536"
"03 Jun 10","1.7328"
"02 Jun 10","1.7491"
"01 Jun 10","1.7471"
"28 May 10","1.7055"
"27 May 10","1.7159"
"26 May 10","1.7329"
"25 May 10","1.7596"
"24 May 10","1.7344"
"21 May 10","1.7491"
"20 May 10","1.7456"
"19 May 10","1.706"
"18 May 10","1.6508"
"17 May 10","1.6416"
"14 May 10","1.6334"
"13 May 10","1.632"
"12 May 10","1.6611"
"11 May 10","1.6587"
"10 May 10","1.6659"
"07 May 10","1.6624"
"06 May 10","1.6645"
"05 May 10","1.6662"
"04 May 10","1.6598"
"30 Apr 10","1.6444"
"29 Apr 10","1.6466"
"28 Apr 10","1.6472"
"27 Apr 10","1.659"
"26 Apr 10","1.6683"
"23 Apr 10","1.6657"
"22 Apr 10","1.6617"
"21 Apr 10","1.6584"
"20 Apr 10","1.6508"
"19 Apr 10","1.6633"
"16 Apr 10","1.6608"
"15 Apr 10","1.66"
"14 Apr 10","1.654"
"13 Apr 10","1.6614"
"12 Apr 10","1.6564"
"09 Apr 10","1.6486"
"08 Apr 10","1.6457"
"07 Apr 10","1.641"
"06 Apr 10","1.6441"
"01 Apr 10","1.6595"
"31 Mar 10","1.6522"
