"Date","zt"
"04 Jan 10","1.1166"
"05 Jan 10","1.1121"
"06 Jan 10","1.112"
"07 Jan 10","1.1124"
"08 Jan 10","1.1141"
"11 Jan 10","1.1117"
"12 Jan 10","1.1136"
"13 Jan 10","1.121"
"14 Jan 10","1.127"
"15 Jan 10","1.1313"
"18 Jan 10","1.1358"
"19 Jan 10","1.1464"
"20 Jan 10","1.153"
"21 Jan 10","1.1508"
"22 Jan 10","1.1413"
"25 Jan 10","1.145"
"26 Jan 10","1.1485"
"27 Jan 10","1.1531"
"28 Jan 10","1.1558"
"29 Jan 10","1.1525"
"01 Feb 10","1.1444"
"02 Feb 10","1.1446"
"03 Feb 10","1.1452"
"04 Feb 10","1.1452"
"05 Feb 10","1.1444"
"08 Feb 10","1.1415"
"09 Feb 10","1.1363"
"10 Feb 10","1.1379"
"11 Feb 10","1.1476"
"12 Feb 10","1.1493"
"15 Feb 10","1.1513"
"16 Feb 10","1.1442"
"17 Feb 10","1.1515"
"18 Feb 10","1.1479"
"19 Feb 10","1.141"
"22 Feb 10","1.14"
"23 Feb 10","1.1385"
"24 Feb 10","1.1354"
"25 Feb 10","1.1279"
"26 Feb 10","1.1154"
"01 Mar 10","1.1083"
"02 Mar 10","1.1006"
"03 Mar 10","1.1005"
"04 Mar 10","1.1062"
"05 Mar 10","1.1098"
"08 Mar 10","1.1039"
"09 Mar 10","1.1033"
"10 Mar 10","1.0955"
"11 Mar 10","1.1001"
"12 Mar 10","1.1033"
"15 Mar 10","1.1018"
"16 Mar 10","1.1042"
"17 Mar 10","1.1133"
"18 Mar 10","1.1208"
"19 Mar 10","1.1098"
"22 Mar 10","1.1138"
"23 Mar 10","1.1133"
"24 Mar 10","1.1173"
"25 Mar 10","1.1153"
"26 Mar 10","1.1125"
"29 Mar 10","1.1121"
"30 Mar 10","1.1254"
"31 Mar 10","1.1208"
"01 Apr 10","1.1288"
"06 Apr 10","1.1358"
"07 Apr 10","1.1395"
"08 Apr 10","1.1414"
"09 Apr 10","1.142"
"12 Apr 10","1.131"
"13 Apr 10","1.133"
"14 Apr 10","1.1345"
"15 Apr 10","1.1425"
"16 Apr 10","1.1405"
"19 Apr 10","1.1363"
"20 Apr 10","1.1407"
"21 Apr 10","1.1501"
"22 Apr 10","1.1567"
"23 Apr 10","1.1492"
"26 Apr 10","1.1606"
"27 Apr 10","1.1522"
"28 Apr 10","1.1513"
"29 Apr 10","1.1535"
"30 Apr 10","1.1515"
"04 May 10","1.1597"
"05 May 10","1.1748"
"06 May 10","1.178"
"07 May 10","1.1604"
"10 May 10","1.1675"
"11 May 10","1.1716"
"12 May 10","1.1718"
"13 May 10","1.1681"
"14 May 10","1.1714"
"17 May 10","1.1699"
"18 May 10","1.1667"
"19 May 10","1.1644"
"20 May 10","1.1598"
"21 May 10","1.1502"
"24 May 10","1.1639"
"25 May 10","1.171"
"26 May 10","1.1802"
"27 May 10","1.1802"
"28 May 10","1.1726"
"01 Jun 10","1.1962"
"02 Jun 10","1.1943"
"03 Jun 10","1.198"
